training tokens,val loss,flops
147828979030.68546,0.6955333877979194,1e+22
116871851677.27003,0.6976417345729086,1e+22
221743468479.6157,0.6935732958652006,1e+22
1034802851733.0117,0.7190527314823856,1e+22
391588366936.5025,0.6963425659856428,1e+22
99465405694.41066,0.7037290458146759,1e+22
68119593576.210785,0.7130218548312831,3e+21
100344519128.23732,0.7112882832642387,3e+21
106865489764.36655,0.7125395541333548,3e+21
117476510185.18411,0.7118087066360043,3e+21
127744197927.07195,0.7122951128526661,3e+21
147627602093.3856,0.7133791652929956,3e+21
16894740487.582767,0.7554733092948618,1e+21
64350493259.55871,0.736337095585636,1e+21
72084226003.60254,0.736992610072978,1e+21
84098263661.31935,0.7389720565939244,1e+21
112887584009.58354,0.7434256320568131,1e+21
22174346885.532227,0.746959571328701,1e+21
103480285348.63048,0.7417473220749937,1e+21
156596766746.08215,0.7516290449421525,1e+21
185251419845.67435,0.7562702360933536,1e+21
33448173069.74032,0.7388338374639439,1e+21
39158836760.07223,0.737584586770761,1e+21
49209200737.60277,0.7364450772444018,1e+21
13623918731.333342,0.7679196128495277,6e+20
23495302064.831673,0.7536814784622278,6e+20
33462256510.99174,0.7480814206078197,6e+20
43250535618.33906,0.7478348939843308,6e+20
47845193042.20979,0.7486107066866391,6e+20
50458958215.6656,0.749012721685434,6e+20
53586616202.828705,0.7492700660249411,6e+20
53218432491.060005,0.7491700347357667,6e+20
60893882042.974205,0.7517909848468678,6e+20
67732550431.213234,0.7518784389120681,6e+20
72275430846.99474,0.7536061454524232,6e+20
81702660950.15274,0.7555305910560202,6e+20
46979030065.32998,0.7708573395709613,3e+20
48906374887.040054,0.7716215525537268,3e+20
55575426002.80266,0.7749558202489774,3e+20
58978003102.41556,0.7739380426106958,3e+20
10034451929.787437,0.7781179819931832,3e+20
10686548994.502804,0.7767360513619666,3e+20
14762760234.29569,0.768618202699934,3e+20
18922109344.486988,0.7640719598147425,3e+20
23922596533.246914,0.7645088391390327,3e+20
29802322207.64735,0.7643571956145846,3e+20
30446941036.940582,0.7642455646058675,3e+20
33866275232.795593,0.7655056981820374,3e+20
36137715441.839226,0.7673163622670461,3e+20
40851330495.810814,0.7677956001177431,3e+20
16302124975.534283,0.7974519774371529,1e+20
19659334383.375183,0.7985905094590809,1e+20
21450164437.16447,0.7995693172531336,1e+20
26326412994.70259,0.8010701775929701,1e+20
8869738760.187048,0.7996495377854,1e+20
11288758420.063902,0.79696342071062,1e+20
12045905157.024271,0.7978408287092538,1e+20
13617110176.28577,0.796371965348588,1e+20
33113691339.36207,0.8092240635859378,1e+20
10348028552.396063,0.7976149600132683,1e+20
15659676701.140871,0.7969686340678244,1e+20
18525142015.95513,0.7989132162631736,1e+20
23035611372.67213,0.7991816389864724,1e+20
3344817312.6412554,0.8333229370782527,1e+20
3915883682.642021,0.8282667627024694,1e+20
4920920082.097938,0.8182146282253547,1e+20
49670536994.35442,0.8169468049474689,1e+20
69257393613.60657,0.8330397866212107,1e+20
9395806024.181196,0.8141255315899397,6e+19
9781274988.97922,0.815503747704236,6e+19
11115085213.709587,0.814978045808501,6e+19
12870098667.112644,0.813140663268393,6e+19
13821366828.746937,0.8131129021418937,6e+19
15727467509.2513,0.8136768570453019,6e+19
18428489101.092167,0.8146224948548462,6e+19
2952552050.351983,0.8484334616078886,6e+19
3861029603.5449758,0.8312471737850521,6e+19
4325053569.145626,0.8277004617882835,6e+19
5358661629.341958,0.820315285298526,6e+19
5960464448.580651,0.8193243564492815,6e+19
6089388214.591838,0.8193060445324539,6e+19
6773255054.571824,0.8171868148744776,6e+19
7227543096.91797,0.817699809212301,6e+19
8170266108.827521,0.8148065263600742,6e+19
4697903014.483917,0.8397820910143652,3e+19
4890637496.981116,0.8400323973217432,3e+19
5557542609.686073,0.8385421591969164,3e+19
5897800320.223206,0.8391396750866463,3e+19
6910683417.894103,0.8361297433695065,3e+19
7897923905.388486,0.8348455631837575,3e+19
1476276025.9308674,0.8842678625820983,3e+19
11920928891.110783,0.840516066525814,3e+19
1930514802.7632813,0.8651620166778211,3e+19
14901161111.471361,0.8416985210811979,3e+19
2392259657.3824887,0.8565908014495953,3e+19
2660921630.4170804,0.8543915467602592,3e+19
2980232225.819863,0.8484829233329855,3e+19
3386627529.0240226,0.8461356744692545,3e+19
3613771550.313672,0.8439160225202906,3e+19
4085133056.510363,0.8423410673427526,3e+19
1630212500.3093846,0.9021716386748886,1e+19
16407299975.294167,0.8993746074280491,1e+19
2145016447.3426967,0.891864896870756,1e+19
2621244588.3260956,0.8830454606780545,1e+19
2632641303.9208612,0.8842717074330584,1e+19
3973642966.903037,0.8810552616081606,1e+19
4415158851.768672,0.878754998125219,1e+19
5455022518.71722,0.8727367638650594,1e+19
6136900333.030478,0.8781095193502686,1e+19
10254562488.100208,0.8891898581798696,1e+19
3311369139.5342298,0.8857283845715633,1e+19
1565967672.7584689,0.9008085412962508,1e+19
1852514204.7237737,0.8964427457334068,1e+19
2303561141.157137,0.8889776745462271,1e+19
3071414854.225558,0.8803192659206766,1e+19
4967053707.8137045,0.8773868828902831,1e+19
6925739373.042766,0.8822788365176444,1e+19
7572599992.890335,0.9061432392745914,6e+18
9844379988.858715,0.9114374034016541,6e+18
12771532939.79335,0.9184102685123495,6e+18
1579584782.9433482,0.9198469393930402,6e+18
1842848913.2246382,0.9118188908068835,6e+18
17029898411.372076,0.9321894971416114,6e+18
